,Name,Year,Category,Countries,Gender
0,Frédéric Passy,1901,Peace,France,Man
1,Sully Prudhomme,1901,Literature,France,Man
2,Emil Adolf von Behring,1901,Physiology or Medicine,Germany,Man
3,Wilhelm Röntgen,1901,Physics,Germany,Man
4,Jacobus Henricus van 't Hoff,1901,Chemistry,Netherlands,Man
5,Henry Dunant,1901,Peace,Switzerland,Man
6,Hermann Emil Fischer,1902,Chemistry,Germany,Man
7,Theodor Mommsen,1902,Literature,Germany,Man
8,Ronald Ross,1902,Physiology or Medicine,"India, United Kingdom",Man
9,Hendrik Lorentz,1902,Physics,Netherlands,Man
10,Pieter Zeeman,1902,Physics,Netherlands,Man
11,Charles Albert Gobat,1902,Peace,Switzerland,Man
12,Élie Ducommun,1902,Peace,Switzerland,Man
13,Henri Becquerel,1903,Physics,France,Man
14,Randal Cremer,1903,Peace,United Kingdom,Man
15,Niels Ryberg Finsen,1903,Physiology or Medicine,"Denmark, Faroe Islands",Man
16,Pierre Curie,1903,Physics,France,Man
17,Bjørnstjerne Bjørnson,1903,Literature,Norway,Man
18,Svante Arrhenius,1903,Chemistry,Sweden,Man
19,Lord Rayleigh,1904,Physics,United Kingdom,Man
20,Frédéric Mistral,1904,Literature,France,Man
21,Ivan Pavlov,1904,Physiology or Medicine,Russia and Soviet Union,Man
22,José Echegaray,1904,Literature,Spain,Man
23,William Ramsay,1904,Chemistry,United Kingdom,Man
24,Adolf von Baeyer,1905,Chemistry,Germany,Man
25,Robert Koch,1905,Physiology or Medicine,Germany,Man
26,Philipp Lenard,1905,Physics,"Germany, Hungary",Man
27,Henryk Sienkiewicz,1905,Literature,"Poland, Russia and Soviet Union",Man
28,Henri Moissan,1906,Chemistry,France,Man
29,Camillo Golgi,1906,Physiology or Medicine,Italy,Man
30,Giosuè Carducci,1906,Literature,Italy,Man
31,Santiago Ramón y Cajal,1906,Physiology or Medicine,Spain,Man
32,J. J. Thomson,1906,Physics,United Kingdom,Man
33,Theodore Roosevelt,1906,Peace,United States,Man
34,Charles Louis Alphonse Laveran,1907,Physiology or Medicine,France,Man
35,Louis Renault,1907,Peace,France,Man
36,Eduard Buchner,1907,Chemistry,Germany,Man
37,Rudyard Kipling,1907,Literature,"India, United Kingdom",Man
38,Ernesto Teodoro Moneta,1907,Peace,Italy,Man
39,Albert Abraham Michelson,1907,Physics,"Poland, United States",Man
40,Fredrik Bajer,1908,Peace,Denmark,Man
41,Gabriel Lippmann,1908,Physics,"France, Luxembourg",Man
42,Paul Ehrlich,1908,Physiology or Medicine,Germany,Man
43,Rudolf Christoph Eucken,1908,Literature,Germany,Man
44,Ernest Rutherford,1908,Chemistry,"New Zealand, United Kingdom, Canada",Man
45,Élie Metchnikoff,1908,Physiology or Medicine,Russia and Soviet Union,Man
46,Klas Pontus Arnoldson,1908,Peace,Sweden,Man
47,Emil Theodor Kocher,1909,Physiology or Medicine,Switzerland,Man
48,Auguste Marie François Beernaert,1909,Peace,Belgium,Man
49,Paul-Henri-Benjamin d'Estournelles de Constant,1909,Peace,France,Man
50,Karl Ferdinand Braun,1909,Physics,Germany,Man
51,Wilhelm Ostwald,1909,Chemistry,Germany,Man
52,Guglielmo Marconi,1909,Physics,Italy,Man
53,Albrecht Kossel,1910,Physiology or Medicine,Germany,Man
54,Otto Wallach,1910,Chemistry,Germany,Man
55,Paul Heyse,1910,Literature,Germany,Man
56,Johannes Diderik van der Waals,1910,Physics,Netherlands,Man
57,Alfred Hermann Fried,1911,Peace,Austria,Man
58,Maurice Maeterlinck,1911,Literature,Belgium,Man
59,Wilhelm Wien,1911,Physics,Germany,Man
60,Tobias Asser,1911,Peace,Netherlands,Man
61,Allvar Gullstrand,1911,Physiology or Medicine,Sweden,Man
62,Alexis Carrel,1912,Physiology or Medicine,France,Man
63,Paul Sabatier,1912,Chemistry,France,Man
64,Victor Grignard,1912,Chemistry,France,Man
65,Gerhart Hauptmann,1912,Literature,Germany,Man
66,Gustaf Dalén,1912,Physics,Sweden,Man
67,Elihu Root,1912,Peace,United States,Man
68,Henri La Fontaine,1913,Peace,Belgium,Man
69,Charles Richet,1913,Physiology or Medicine,France,Man
70,Alfred Werner,1913,Chemistry,"France, Switzerland",Man
71,Rabindranath Tagore,1913,Literature,India,Man
72,Heike Kamerlingh Onnes,1913,Physics,Netherlands,Man
73,Robert Bárány,1914,Physiology or Medicine,"Austria, Hungary",Man
74,Max von Laue,1914,Physics,Germany,Man
75,Theodore W. Richards,1914,Chemistry,United States,Man
76,William Lawrence Bragg,1915,Physics,"Australia, United Kingdom",Man
77,Romain Rolland,1915,Literature,France,Man
78,Richard Willstätter,1915,Chemistry,Germany,Man
79,William Henry Bragg,1915,Physics,United Kingdom,Man
80,Verner von Heidenstam,1916,Literature,Sweden,Man
81,Henrik Pontoppidan,1917,Literature,Denmark,Man
82,Karl Adolph Gjellerup,1917,Literature,Denmark,Man
83,Charles Glover Barkla,1917,Physics,United Kingdom,Man
84,Fritz Haber,1918,Chemistry,Germany,Man
85,Max Planck,1918,Physics,Germany,Man
86,Jules Bordet,1919,Physiology or Medicine,Belgium,Man
87,Johannes Stark,1919,Physics,Germany,Man
88,Carl Spitteler,1919,Literature,Switzerland,Man
89,Woodrow Wilson,1919,Peace,United States,Man
90,August Krogh,1920,Physiology or Medicine,Denmark,Man
91,Léon Bourgeois,1920,Peace,France,Man
92,Walther Nernst,1920,Chemistry,Germany,Man
93,Knut Hamsun,1920,Literature,Norway,Man
94,Charles Édouard Guillaume,1920,Physics,Switzerland,Man
95,Anatole France,1921,Literature,France,Man
96,Albert Einstein,1921,Physics,"Germany, Switzerland",Man
97,Christian Lous Lange,1921,Peace,Norway,Man
98,Hjalmar Branting,1921,Peace,Sweden,Man
99,Frederick Soddy,1921,Chemistry,United Kingdom,Man
100,Niels Bohr,1922,Physics,Denmark,Man
101,Otto Fritz Meyerhof,1922,Physiology or Medicine,Germany,Man
102,Fridtjof Nansen,1922,Peace,Norway,Man
103,Jacinto Benavente,1922,Literature,Spain,Man
104,Francis William Aston,1922,Chemistry,United Kingdom,Man
105,Archibald Hill,1922,Physiology or Medicine,United Kingdom,Man
106,Fritz Pregl,1923,Chemistry,Austria,Man
107,Frederick Banting,1923,Physiology or Medicine,Canada,Man
108,John James Rickard Macleod,1923,Physiology or Medicine,"Canada, United Kingdom",Man
109,W. B. Yeats,1923,Literature,Ireland,Man
110,Robert Andrews Millikan,1923,Physics,United States,Man
111,Manne Siegbahn,1924,Physics,Sweden,Man
112,Willem Einthoven,1924,Physiology or Medicine,Netherlands,Man
113,Władysław Reymont,1924,Literature,"Poland, Russia and Soviet Union",Man
114,Richard Adolf Zsigmondy,1925,Chemistry,"Austria, Hungary",Man
115,Gustav Ludwig Hertz,1925,Physics,Germany,Man
116,James Franck,1925,Physics,Germany,Man
117,George Bernard Shaw,1925,Literature,"Ireland, United Kingdom",Man
118,Austen Chamberlain,1925,Peace,United Kingdom,Man
119,Charles G. Dawes,1925,Peace,United States,Man
120,Johannes Fibiger,1926,Physiology or Medicine,Denmark,Man
121,Aristide Briand,1926,Peace,France,Man
122,Jean Baptiste Perrin,1926,Physics,France,Man
123,Gustav Stresemann,1926,Peace,Germany,Man
124,Theodor Svedberg,1926,Chemistry,Sweden,Man
125,Julius Wagner-Jauregg,1927,Physiology or Medicine,Austria,Man
126,Ferdinand Buisson,1927,Peace,France,Man
127,Henri Bergson,1927,Literature,France,Man
128,Heinrich Otto Wieland,1927,Chemistry,Germany,Man
129,Ludwig Quidde,1927,Peace,Germany,Man
130,Charles Thomson Rees Wilson,1927,Physics,United Kingdom,Man
131,Arthur Compton,1927,Physics,United States,Man
132,Charles Nicolle,1928,Physiology or Medicine,France,Man
133,Adolf Otto Reinhold Windaus,1928,Chemistry,Germany,Man
134,Owen Willans Richardson,1928,Physics,United Kingdom,Man
135,Louis de Broglie,1929,Physics,France,Man
136,Thomas Mann,1929,Literature,Germany,Man
137,Hans von Euler-Chelpin,1929,Chemistry,"Germany, Sweden",Man
138,Christiaan Eijkman,1929,Physiology or Medicine,Netherlands,Man
139,Arthur Harden,1929,Chemistry,United Kingdom,Man
140,Frederick Gowland Hopkins,1929,Physiology or Medicine,United Kingdom,Man
141,Frank B. Kellogg,1929,Peace,United States,Man
142,Karl Landsteiner,1930,Physiology or Medicine,Austria,Man
143,Hans Fischer,1930,Chemistry,Germany,Man
144,C. V. Raman,1930,Physics,India,Man
145,Nathan Söderblom,1930,Peace,Sweden,Man
146,Sinclair Lewis,1930,Literature,United States,Man
147,Carl Bosch,1931,Chemistry,Germany,Man
148,Friedrich Bergius,1931,Chemistry,Germany,Man
149,Otto Heinrich Warburg,1931,Physiology or Medicine,Germany,Man
150,Erik Axel Karlfeldt,1931,Literature,Sweden,Man
151,Nicholas Murray Butler,1931,Peace,United States,Man
152,Werner Heisenberg,1932,Physics,Germany,Man
153,Charles Scott Sherrington,1932,Physiology or Medicine,United Kingdom,Man
154,Edgar Adrian,1932,Physiology or Medicine,United Kingdom,Man
155,John Galsworthy,1932,Literature,United Kingdom,Man
156,Irving Langmuir,1932,Chemistry,United States,Man
157,Erwin Schrödinger,1933,Physics,Austria,Man
158,Ivan Bunin,1933,Literature,"France, Russia and Soviet Union",Man
159,Norman Angell,1933,Peace,United Kingdom,Man
160,Paul Dirac,1933,Physics,United Kingdom,Man
161,Thomas Hunt Morgan,1933,Physiology or Medicine,United States,Man
162,Luigi Pirandello,1934,Literature,Italy,Man
163,Arthur Henderson,1934,Peace,United Kingdom,Man
164,Harold Urey,1934,Chemistry,United States,Man
165,William P. Murphy,1934,Physiology or Medicine,United States,Man
166,George Minot,1934,Physiology or Medicine,United States,Man
167,George Whipple,1934,Physiology or Medicine,United States,Man
168,Frédéric Joliot-Curie,1935,Chemistry,France,Man
169,Carl von Ossietzky,1935,Peace,Germany,Man
170,Hans Spemann,1935,Physiology or Medicine,Germany,Man
171,James Chadwick,1935,Physics,United Kingdom,Man
172,Carlos Saavedra Lamas,1936,Peace,Argentina,Man
173,Victor Francis Hess,1936,Physics,Austria,Man
174,Otto Loewi,1936,Physiology or Medicine,"Austria, Germany",Man
175,Peter Debye,1936,Chemistry,Netherlands,Man
176,Henry Hallett Dale,1936,Physiology or Medicine,United Kingdom,Man
177,Eugene O'Neill,1936,Literature,United States,Man
178,Carl David Anderson,1936,Physics,United States,Man
179,Roger Martin du Gard,1937,Literature,France,Man
180,Albert Szent-Györgyi,1937,Physiology or Medicine,Hungary,Man
181,Paul Karrer,1937,Chemistry,Switzerland,Man
182,George Paget Thomson,1937,Physics,United Kingdom,Man
183,Norman Haworth,1937,Chemistry,United Kingdom,Man
184,Clinton Davisson,1937,Physics,United States,Man
185,Richard Kuhn,1938,Chemistry,"Austria, Germany",Man
186,Corneille Heymans,1938,Physiology or Medicine,Belgium,Man
187,Enrico Fermi,1938,Physics,Italy,Man
188,Leopold Ružička,1939,Chemistry,"Croatia, Switzerland",Man
189,Frans Eemil Sillanpää,1939,Literature,Finland,Man
190,Adolf Butenandt,1939,Chemistry,Germany,Man
191,Gerhard Domagk,1939,Physiology or Medicine,Germany,Man
192,Ernest Lawrence,1939,Physics,United States,Man
193,Henrik Dam,1943,Physiology or Medicine,Denmark,Man
194,Otto Stern,1943,Physics,"Germany, United States",Man
195,George de Hevesy,1943,Chemistry,Hungary,Man
196,Edward Adelbert Doisy,1943,Physiology or Medicine,United States,Man
197,Johannes Vilhelm Jensen,1944,Literature,Denmark,Man
198,Otto Hahn,1944,Chemistry,Germany,Man
199,Isidor Isaac Rabi,1944,Physics,"Poland, United States",Man
200,Joseph Erlanger,1944,Physiology or Medicine,United States,Man
201,Herbert Spencer Gasser,1944,Physiology or Medicine,United States,Man
202,Howard Florey,1945,Physiology or Medicine,Australia,Man
203,Wolfgang Pauli,1945,Physics,Austria,Man
204,Artturi Ilmari Virtanen,1945,Chemistry,Finland,Man
205,Ernst Boris Chain,1945,Physiology or Medicine,"Germany, United Kingdom",Man
206,Alexander Fleming,1945,Physiology or Medicine,United Kingdom,Man
207,Cordell Hull,1945,Peace,United States,Man
208,Hermann Hesse,1946,Literature,"Germany, Switzerland",Man
209,James B. Sumner,1946,Chemistry,United States,Man
210,John Howard Northrop,1946,Chemistry,United States,Man
211,Hermann Joseph Muller,1946,Physiology or Medicine,United States,Man
212,John Mott,1946,Peace,United States,Man
213,Percy Williams Bridgman,1946,Physics,United States,Man
214,Wendell Meredith Stanley,1946,Chemistry,United States,Man
215,Bernardo Houssay,1947,Physiology or Medicine,Argentina,Man
216,Carl Ferdinand Cori,1947,Physiology or Medicine,"Czech Republic, United States",Man
217,André Gide,1947,Literature,France,Man
218,Edward Victor Appleton,1947,Physics,United Kingdom,Man
219,Robert Robinson,1947,Chemistry,United Kingdom,Man
220,Arne Tiselius,1948,Chemistry,Sweden,Man
221,Paul Hermann Müller,1948,Physiology or Medicine,Switzerland,Man
222,Patrick Blackett,1948,Physics,United Kingdom,Man
223,T. S. Eliot,1948,Literature,"United Kingdom, United States",Man
224,William Giauque,1949,Chemistry,"Canada, United States",Man
225,Hideki Yukawa,1949,Physics,Japan,Man
226,António Egas Moniz,1949,Physiology or Medicine,Portugal,Man
227,Walter Rudolf Hess,1949,Physiology or Medicine,Switzerland,Man
228,John Boyd Orr,1949,Peace,United Kingdom,Man
229,William Faulkner,1949,Literature,United States,Man
230,C. F. Powell,1950,Physics,United Kingdom,Man
231,Tadeus Reichstein,1950,Physiology or Medicine,"Poland, Switzerland",Man
232,Kurt Alder,1950,Chemistry,Germany,Man
233,Otto Diels,1950,Chemistry,Germany,Man
234,Bertrand Russell,1950,Literature,United Kingdom,Man
235,Edward Calvin Kendall,1950,Physiology or Medicine,United States,Man
236,Philip Showalter Hench,1950,Physiology or Medicine,United States,Man
237,Ralph Bunche,1950,Peace,United States,Man
238,Léon Jouhaux,1951,Peace,France,Man
239,Ernest Walton,1951,Physics,Ireland,Man
240,Max Theiler,1951,Physiology or Medicine,South Africa,Man
241,Pär Lagerkvist,1951,Literature,Sweden,Man
242,John Cockcroft,1951,Physics,United Kingdom,Man
243,Edwin McMillan,1951,Chemistry,United States,Man
244,Glenn T. Seaborg,1951,Chemistry,United States,Man
245,Edward Mills Purcell,1952,Physics,United States,Man
246,François Mauriac,1952,Literature,France,Man
247,Albert Schweitzer,1952,Peace,"France, Germany",Man
248,Felix Bloch,1952,Physics,"Switzerland, United States",Man
249,Selman Waksman,1952,Physiology or Medicine,"Ukraine, United States",Man
250,Archer John Porter Martin,1952,Chemistry,United Kingdom,Man
251,Richard Laurence Millington Synge,1952,Chemistry,United Kingdom,Man
252,Hermann Staudinger,1953,Chemistry,Germany,Man
253,Hans Adolf Krebs,1953,Physiology or Medicine,"Germany, United Kingdom",Man
254,Fritz Albert Lipmann,1953,Physiology or Medicine,"Germany, United States",Man
255,Frits Zernike,1953,Physics,Netherlands,Man
256,Winston Churchill,1953,Literature,United Kingdom,Man
257,George Marshall,1953,Peace,United States,Man
258,Walther Bothe,1954,Physics,Germany,Man
259,Max Born,1954,Physics,"Germany, United Kingdom",Man
260,Ernest Hemingway,1954,Literature,United States,Man
261,Frederick Chapman Robbins,1954,Physiology or Medicine,United States,Man
262,John Franklin Enders,1954,Physiology or Medicine,United States,Man
263,Linus Pauling,1954,Chemistry,United States,Man
264,Thomas Huckle Weller,1954,Physiology or Medicine,United States,Man
265,Polykarp Kusch,1955,Physics,"Germany, United States",Man
266,Halldór Laxness,1955,Literature,Iceland,Man
267,Hugo Theorell,1955,Physiology or Medicine,Sweden,Man
268,Vincent du Vigneaud,1955,Chemistry,United States,Man
269,Willis Lamb,1955,Physics,United States,Man
270,André Frédéric Cournand,1956,Physiology or Medicine,France,Man
271,Werner Forssmann,1956,Physiology or Medicine,Germany,Man
272,Nikolay Semyonov,1956,Chemistry,Russia and Soviet Union,Man
273,Juan Ramón Jiménez,1956,Literature,Spain,Man
274,Cyril Norman Hinshelwood,1956,Chemistry,United Kingdom,Man
275,Dickinson W. Richards,1956,Physiology or Medicine,United States,Man
276,John Bardeen,1956,Physics,United States,Man
277,Walter Houser Brattain,1956,Physics,United States,Man
278,William Shockley,1956,Physics,United States,Man
279,The Lord Todd,1957,Chemistry,United Kingdom,Man
280,Lester B. Pearson,1957,Peace,Canada,Man
281,Tsung-Dao Lee,1957,Physics,"China, Republic of, United States",Man
282,Albert Camus,1957,Literature,France,Man
283,Daniel Bovet,1957,Physiology or Medicine,"Italy, Switzerland",Man
284,Chen Ning Yang,1957,Physics,United States,Man
285,Dominique Pire,1958,Peace,Belgium,Man
286,Boris Pasternak,1958,Literature,Russia and Soviet Union,Man
287,Igor Tamm,1958,Physics,Russia and Soviet Union,Man
288,Pavel Cherenkov,1958,Physics,Russia and Soviet Union,Man
289,Ilya Frank,1958,Physics,Russia and Soviet Union,Man
290,Frederick Sanger,1958,Chemistry,United Kingdom,Man
291,Joshua Lederberg,1958,Physiology or Medicine,United States,Man
292,Edward Lawrie Tatum,1958,Physiology or Medicine,United States,Man
293,George Wells Beadle,1958,Physiology or Medicine,United States,Man
294,Jaroslav Heyrovský,1959,Chemistry,Czech Republic,Man
295,Salvatore Quasimodo,1959,Literature,Italy,Man
296,Emilio G. Segrè,1959,Physics,"Italy, United States",Man
297,Severo Ochoa,1959,Physiology or Medicine,"Spain, United States",Man
298,Philip Noel-Baker,1959,Peace,United Kingdom,Man
299,Arthur Kornberg,1959,Physiology or Medicine,United States,Man
300,Owen Chamberlain,1959,Physics,United States,Man
301,Frank Macfarlane Burnet,1960,Physiology or Medicine,Australia,Man
302,Peter Medawar,1960,Physiology or Medicine,"Brazil, United Kingdom",Man
303,Saint-John Perse,1960,Literature,France,Man
304,Albert Lutuli,1960,Peace,South Africa,Man
305,Donald A. Glaser,1960,Physics,United States,Man
306,Willard Libby,1960,Chemistry,United States,Man
307,Ivo Andrić,1961,Literature,Bosnia and Herzegovina,Man
308,Rudolf Mössbauer,1961,Physics,Germany,Man
309,Georg von Békésy,1961,Physiology or Medicine,"Hungary, United States",Man
310,Dag Hammarskjöld,1961,Peace,Sweden,Man
311,Melvin Calvin,1961,Chemistry,United States,Man
312,Robert Hofstadter,1961,Physics,United States,Man
313,Max Perutz,1962,Chemistry,"Austria, United Kingdom",Man
314,Maurice Wilkins,1962,Physiology or Medicine,"New Zealand, United Kingdom",Man
315,Lev Landau,1962,Physics,Russia and Soviet Union,Man
316,Francis Crick,1962,Physiology or Medicine,United Kingdom,Man
317,John Kendrew,1962,Chemistry,United Kingdom,Man
318,James D. Watson,1962,Physiology or Medicine,United States,Man
319,John Steinbeck,1962,Literature,United States,Man
320,Linus Pauling,1962,Peace,United States,Man
321,John Eccles,1963,Physiology or Medicine,Australia,Man
322,J. Hans D. Jensen,1963,Physics,Germany,Man
323,Karl Ziegler,1963,Chemistry,Germany,Man
324,Giorgos Seferis,1963,Literature,Greece,Man
325,Eugene Wigner,1963,Physics,"Hungary, United States",Man
326,Giulio Natta,1963,Chemistry,Italy,Man
327,Alan Lloyd Hodgkin,1963,Physiology or Medicine,United Kingdom,Man
328,Andrew Huxley,1963,Physiology or Medicine,United Kingdom,Man
329,Jean-Paul Sartre[d],1964,Literature,France,Man
330,Feodor Felix Konrad Lynen,1964,Physiology or Medicine,Germany,Man
331,Konrad Emil Bloch,1964,Physiology or Medicine,"Germany, United States",Man
332,Alexander Prokhorov,1964,Physics,Russia and Soviet Union,Man
333,Nikolay Basov,1964,Physics,Russia and Soviet Union,Man
334,Charles Hard Townes,1964,Physics,United States,Man
335,"Martin Luther King, Jr.",1964,Peace,United States,Man
336,François Jacob,1965,Physiology or Medicine,France,Man
337,Jacques Monod,1965,Physiology or Medicine,France,Man
338,André Michel Lwoff,1965,Physiology or Medicine,France,Man
339,Sin-Itiro Tomonaga,1965,Physics,Japan,Man
340,Mikhail Sholokhov,1965,Literature,Russia and Soviet Union,Man
341,Julian Schwinger,1965,Physics,United States,Man
342,Richard Feynman,1965,Physics,United States,Man
343,Robert Burns Woodward,1965,Chemistry,United States,Man
344,Charles Brenton Huggins,1966,Physiology or Medicine,"Canada, United States",Man
345,Alfred Kastler,1966,Physics,France,Man
346,Shmuel Yosef Agnon,1966,Literature,"Israel, Ukraine",Man
347,Francis Peyton Rous,1966,Physiology or Medicine,United States,Man
348,Robert S. Mulliken,1966,Chemistry,United States,Man
349,Ragnar Granit,1967,Physiology or Medicine,"Finland, Sweden",Man
350,Manfred Eigen,1967,Chemistry,Germany,Man
351,Hans Bethe,1967,Physics,"Germany, United States",Man
