Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Cyprus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,897.32","28,049.01","26,240.05","29,685.75","31,147.89","32,535.27","33,668.39","34,830.19",2019
Czech Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,459.70","23,538.52","22,627.47","25,990.63","27,782.66","29,463.50","30,952.21","32,288.88",2019
Denmark,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","61,522.85","59,770.32","58,438.85","63,644.75","66,545.87","69,355.24","72,178.05","75,091.41",2019
Djibouti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,872.07","3,103.02","3,074.33","3,275.14","3,464.27","3,660.74","3,850.18","4,049.43",2018
Dominica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,541.63","8,305.39","7,708.72","8,110.57","8,539.46","8,974.29","9,314.23","9,643.02",2011
Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,340.96","8,595.61","7,444.80","7,740.11","8,459.31","8,960.43","9,525.66","10,132.16",2018
Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,318.48","6,221.67","5,315.52","5,589.24","5,709.29","5,806.70","5,916.57","6,043.32",2018
Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,577.27","3,043.64","3,561.14","3,606.29","3,706.00","3,859.27","4,016.67","4,212.44",2018
El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,067.66","4,186.96","3,821.29","4,023.23","4,195.15","4,346.25","4,481.83","4,610.24",2018
Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,365.49","8,689.95","7,131.16","8,000.28","7,760.13","7,727.18","7,675.72","7,568.58",2015
