,Manga ID,English Title,Japanese Title,Type,Volumes,Chapters,Status,Published,Genres,Author,Serialization,Score,Ranked,Popularity,Members
139,93516,Unknown,SQ从你的名字开始,Manhua,1,9,Finished,"Oct  5, 2015","['Comedy', 'School', 'Shoujo', 'Shoujo', 'Slice', 'Slice']",['Tanjiu (Story & Art)'],None,8.45,140,291,31017
140,39325,ERASED,僕だけがいない街,Manga,9,49,Finished,"Jun  4, 2012 to Nov  4, 2016","['Mystery', 'Supernatural', 'Psychological', 'Seinen']","['Sanbe, Kei (Story & Art)']",Young Ace,8.44,141,117,60674
141,42,Dragon Ball,ドラゴンボール,Manga,42,520,Finished,"Nov  20, 1984 to May  23, 1995","['Action', 'Adventure', 'Comedy', 'Martial', 'Martial', 'Sci', 'Sci', 'Shounen', 'Super', 'Super']","['Toriyama, Akira (Story & Art)']",Shounen Jump (Weekly),8.44,143,50,97380
142,768,Battle Angel Alita,銃夢 GUNNM,Manga,9,53,Finished,Nov 1990 to Mar 1995,"['Action', 'Sci', 'Sci', 'Seinen']","['Kishiro, Yukito (Story & Art)']",Business Jump,8.44,143,154,50584
143,61189,The Ancient Magus' Bride,魔法使いの嫁,Manga,Unknown,Unknown,Publishing,"Nov  30, 2013 to ?","['Fantasy', 'Magic', 'Shounen', 'Slice', 'Slice']","['Yamazaki, Kore (Story & Art)']",Comic Garden,8.44,142,105,64423
144,40761,Wolf Children: Ame & Yuki,おおかみこどもの雨と雪,Manga,3,16,Finished,"Apr  4, 2012 to Aug  3, 2013","['Drama', 'Fantasy', 'Romance', 'Slice', 'Slice', 'Seinen']","['Hosoda, Mamoru (Story)', ' Yuu (Art)']",Young Ace,8.43,153,647,15671
145,88930,The Saga of Tanya the Evil,幼女戦記,Novel,Unknown,Unknown,Publishing,"Oct  31, 2013 to ?","['Magic', 'Military']","['Shinotsuki, Shinobu (Art)', ' Zen, Carlo (Story)']",None,8.43,150,884,12041
146,100128,The Promised Neverland,約束のネバーランド,Manga,20,181,Finished,"Aug  1, 2016 to Jun  15, 2020","['Mystery', 'Horror', 'Sci', 'Sci', 'Shounen']","['Demizu, Posuka (Art)', ' Shirai, Kaiu (Story)']",Shounen Jump (Weekly),8.43,151,18,144126
147,102343,To Your Eternity,不滅のあなたへ,Manga,Unknown,Unknown,Publishing,"Nov  9, 2016 to ?","['Drama', 'Shounen', 'Supernatural']","['Ooima, Yoshitoki (Story & Art)']",Shounen Magazine (Weekly),8.43,148,226,36697
148,974,Basara,BASARA,Manga,27,112,Finished,"Aug  11, 1990 to May  13, 1998","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Shoujo']","['Tamura, Yumi (Story & Art)']",Betsucomi,8.43,149,712,14407
149,1032,Doraemon,ドラえもん,Manga,45,821,Finished,Dec 1969 to 1996,"['Adventure', 'Comedy', 'Kids', 'School', 'Sci', 'Sci', 'Shounen', 'Slice', 'Slice']","['Fujiko, Fujio F. (Story & Art)']",None,8.43,146,1353,8297
150,6164,My Girl,マイガール,Manga,5,44,Finished,"Jun  2, 2006 to Sep  3, 2010","['Drama', 'Slice', 'Slice', 'Seinen']","['Yumeka, Sumomo (Story & Art)']",Comic Bunch,8.43,147,525,18641
151,7482,Unknown,RAINBOW 二舎六房の七人,Manga,22,235,Finished,"Nov  21, 2002 to Jan  4, 2010","['Drama', 'Historical', 'Psychological', 'Seinen']","['Abe, George (Story)', ' Kakizaki, Masasumi (Art)']",Young Sunday (Weekly),8.43,148,683,14874
152,12854,A Certain Magical Index,とある魔術の禁書目録,Novel,22,133,Finished,"Apr  10, 2004 to Oct  10, 2010","['Action', 'Comedy', 'Fantasy', 'Magic', 'Sci', 'Sci', 'Super', 'Super', 'Supernatural']","['Kamachi, Kazuma (Story)', ' Haimura, Kiyotaka (Art)']",None,8.43,153,450,20781
