GENES "U3" "U4" "U6" "U7" "U8" "U9" "H34" "H35" "H36" "H38" "H39" "H40" "S62" "S63" "S64" "S67" "S68"
"CDK2" 1281.14018621636 25.1186850346634 12.2259882770098 1582.65822460224 2370.8283496904 2172.98628459961 81.9123039856351 41.603566568181 234.03888344717 600.584819945792 1.50122237492667 1.46699837811488 696.841111125241 9.10378304375051 8558.1106033513 22.28103904669 3.55599231594744
"CDK4" 5808.77689642186 480.843399234985 1.52824853462623 1.95631424549103 112.896588080495 1690.81161565556 556.560897891586 2915.44993412407 42.6962827910377 318.960677022721 629.012175094275 4709.06479374876 1441.59655874041 688.473592683632 1.34434662320944 3.51805879684579 1.18533077198248
"CDK6" 8857.58244979244 2516.65301490151 38.2062133656557 5.86894273647309 7227.80952076632 6969.13077922888 3628.05091274754 122.677183470277 529.750175370283 1712.14677799822 1550.76271329925 4279.2342689611 9430.79136043039 4762.41650476198 1480.12563215359 14497.9203018015 2869.68579896958
"CDKN1A" 6.41853800709597 8.37289501155446 10.6977397423836 1.95631424549103 8.49759265122006 46.9373571538452 3717.0475241049 7694.52629887921 23.7201571061321 5389.26200775513 21967.387012302 4.40099513434464 46.8727204792763 6204.22814431597 760.900188736543 2337.16372737122 13393.05239263
"CDKN1B" 1.28370760141919 3.58838357638048 10.6977397423836 5.86894273647309 8.49759265122006 2288.19616124995 229.797220370511 466.173297187053 7.90671903537736 65.0722451451036 1.50122237492667 1001.95989225246 2630.08042689272 456.327125067994 208.373726597463 102.023705108528 32038.3054359144
"CDKN1C" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 0.442769210733163 3.20027435139854 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"CDKN2A" 1.28370760141919 1.19612785879349 10.6977397423836 1.95631424549103 1.21394180731715 1.06675811713285 2.21384605366581 3.20027435139854 7.90671903537736 3.20027435139854 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"CDKN2B" 1.28370760141919 1.19612785879349 4.58474560387868 1.95631424549103 6.06970903658576 1.06675811713285 0.442769210733163 1.06675811713285 4.74403142122642 1.06675811713285 1.50122237492667 4.40099513434464 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 3.55599231594744
"CDKN2C" 1.28370760141919 235.637188182318 1.52824853462623 1.95631424549103 430.949341597589 176.015089326919 373.254444648056 76.8065844335649 83.811221775 5.33379058566423 1.50122237492667 1.46699837811488 67.705040692288 1.13797288046881 20.1651993481416 1.17268626561526 1.18533077198248
"CDKN2D" 1.28370760141919 4893.35907032418 1.52824853462623 1.95631424549103 1.21394180731715 103.475537361886 244.851373535439 579.249657603135 4.74403142122642 3.20027435139854 4.50366712478001 10.2689886468042 1.04161601065058 162.73012190704 2991.17123664101 1.17268626561526 1.18533077198248
