,Rank,Country,Player,Accuracy,Play Count,Performance,SS,S,A
11,1862,United States,-ether-,98.94%,"77,979","9,378",102,"1,058",670
12,1863,Brazil,Akane Hime,98.77%,"85,497","9,376",386,"3,127",992
13,1864,Singapore,_gt,93.30%,"49,007","9,376",12,300,343
14,1865,South Korea,Flying_Freddy,97.39%,"90,711","9,375",25,890,827
15,1866,China,SpringLane,98.36%,"75,062","9,375",68,"2,495",854
16,1867,Hungary,Zylaxin,97.88%,"77,442","9,374",38,"1,118","1,085"
17,1868,Austria,Kizan,98.85%,"93,994","9,373",83,"1,263",798
18,1869,Japan,serea,98.96%,"242,282","9,370","1,091","2,112",180
19,1870,Chile,Zedex Suzuya,97.09%,"108,248","9,370",25,352,733
20,1871,United States,Imakward,93.94%,"41,043","9,369",4,270,268
21,1872,Ireland,Navajo,96.37%,"85,701","9,369",81,623,998
22,1873,Indonesia,Fuma,98.48%,"146,785","9,369",186,"1,589","1,257"
23,1874,Mexico,Broodich,98.94%,"193,486","9,369",708,"3,047","2,518"
24,1875,Australia,koomeko,98.11%,"73,783","9,367",43,477,741
25,1876,Switzerland,KyoshiDeath,95.13%,"75,539","9,367",5,624,669
26,1877,Australia,Tech Deck,97.51%,"92,890","9,365",34,550,"1,272"
27,1878,Netherlands,Jekel,99.48%,"133,501","9,365",283,"1,255","1,834"
28,1879,Russian Federation,GoDoFDeath,98.23%,"46,017","9,364",17,466,"1,197"
29,1880,Indonesia,Stiyl Magnus,97.70%,"53,688","9,364",46,424,574
30,1881,United States,Jason,97.82%,"97,614","9,362",92,"1,130","1,456"
31,1882,Chile,Ritseh,98.50%,"61,684","9,362",15,431,527
32,1883,Romania,roby32,96.13%,"45,118","9,361",56,300,242
33,1884,United States,Kitteh,99.07%,"38,947","9,360",151,"1,265","1,179"
34,1885,Germany,Louane,97.51%,"24,092","9,359",20,292,503
35,1886,China,Sin_smile,95.56%,"46,337","9,359",5,431,"1,321"
36,1887,United Kingdom,rafalbrew,99.16%,"91,341","9,359",149,"1,093",817
37,1888,France,Never4Ever,97.43%,"30,042","9,359",22,528,853
38,1889,Kazakhstan,Etellero,97.21%,"60,829","9,358",56,642,750
39,1890,Hong Kong,- Gyaku Koi-,97.60%,"87,234","9,358",67,"2,682","1,491"
40,1891,Russian Federation,Derzzkilz,98.91%,"88,483","9,358",53,702,"1,313"
41,1892,Greece,xDarxen,98.44%,"79,385","9,358",84,837,576
42,1893,Japan,Cione,99.45%,"126,687","9,356",375,"1,792",661
43,1894,India,Potla,98.18%,"134,095","9,356",68,"1,715","1,674"
44,1895,United States,mint juul pod,98.33%,"58,907","9,355",74,"1,157",676
45,1896,Singapore,OppaiSuki,96.90%,"50,727","9,355",9,603,"1,205"
46,1897,Chile,Pancho,98.84%,"54,734","9,354",134,"1,438","2,425"
47,1898,Poland,Nemuidesu,98.81%,"50,653","9,352",811,"2,560","2,173"
48,1899,Belarus,Vudek,96.55%,"132,704","9,352",33,704,941
49,1900,Czech Republic,Yuuthi,98.25%,"200,633","9,351",98,"1,515","1,835"
0,1901,United States,Tyco,99.42%,"51,456","9,351",178,910,"1,057"
1,1902,Poland,ianski,94.48%,"89,031","9,349",383,"1,316","1,278"
2,1903,Sweden,fcuk,99.19%,"69,822","9,347",475,"4,913",557
3,1904,Austria,Eta Carinae,98.81%,"126,430","9,346",203,"1,615","2,386"
4,1905,China,Callionet,96.44%,"49,815","9,346",42,815,929
5,1906,Germany,Nive_Chan,98.00%,"50,633","9,343",43,620,"1,096"
6,1907,Australia,real rainze,98.53%,"50,088","9,343",10,906,"1,500"
7,1908,Canada,ItsNazuna,97.44%,"80,012","9,343",32,362,572
8,1909,Belgium,5joshi,99.23%,"124,959","9,343","1,232","3,313","1,765"
9,1910,United States,Nehza,95.66%,"66,917","9,342",3,224,481
10,1911,Poland,Jon Naismith,98.90%,"62,125","9,338",112,723,885
11,1912,United States,Ryzeren,95.09%,"78,612","9,334",19,336,339
12,1913,United States,Ancereal,97.23%,"81,671","9,333",49,571,542
13,1914,Chile,Kanwa,98.31%,"62,484","9,332",79,593,463
14,1915,United States,Kaoeg,95.62%,"63,695","9,331",6,187,372
15,1916,Hong Kong,Regou,99.04%,"122,575","9,330",154,"1,577",771
16,1917,South Korea,Flrika,96.22%,"51,504","9,330",9,430,508
17,1918,France,Erreipp,97.62%,"95,476","9,329",88,510,580
18,1919,Singapore,megumic,98.03%,"87,894","9,329",119,"1,247","1,725"
19,1920,Latvia,LINKI,98.97%,"90,401","9,327",398,765,312
20,1921,Russian Federation,kyokyo,98.38%,"107,008","9,325",31,341,759
21,1922,Hungary,legekka,99.07%,"67,658","9,325",160,"1,050","1,010"
22,1923,United States,over_loadcode,99.27%,"35,830","9,324",29,383,"2,007"
23,1924,United States,The Lewd Loli,98.39%,"101,986","9,324",157,"1,156","1,125"
24,1925,France,auktooo,98.38%,"81,996","9,323",18,396,951
25,1926,Spain,Aricin Fanboy,97.42%,"138,331","9,323",17,474,931
26,1927,Russian Federation,unberlin,98.67%,"173,133","9,322",103,"1,622","1,893"
27,1928,Finland,Moshu,99.21%,"137,565","9,320",72,589,778
28,1929,United States,[ Senji ],98.77%,"77,109","9,318",55,721,915
29,1930,South Korea,ddm,99.10%,"68,826","9,318",254,"1,075",849
30,1931,Portugal,dat boi waffle,99.19%,"55,903","9,317",252,"2,115","2,269"
31,1932,New Zealand,Div,99.29%,"75,184","9,316",86,852,"1,109"
32,1933,United States,Ryuti,98.82%,"114,678","9,316",127,888,"1,237"
33,1934,Poland,Pyrka,98.60%,"57,834","9,316",135,"2,089","2,742"
34,1935,China,Shamiko sama,98.31%,"77,496","9,316",17,813,"1,993"
35,1936,Japan,CHALLYY,96.62%,"122,346","9,315",123,"1,258","1,248"
36,1937,Philippines,Mira-san,98.76%,"70,490","9,315",171,"1,008",218
37,1938,South Korea,Red chestnut,95.80%,"86,160","9,315",12,624,"1,184"
38,1939,Germany,RNG Gamer,98.29%,"85,315","9,314",85,"1,135","1,256"
39,1940,Germany,Kyoushouryuu,99.14%,"103,705","9,314",287,"2,647","2,656"
40,1941,United States,ItsJpex,99.32%,"52,557","9,314",125,668,"1,430"
41,1942,Taiwan,Poyoyo,98.83%,"104,291","9,314",121,"1,916","1,652"
42,1943,Russian Federation,YuNaHiTo,97.54%,"67,142","9,313",158,"1,166","1,083"
43,1944,Canada,ricecustomer,98.92%,"99,110","9,313",191,"1,543","1,727"
44,1945,United States,teashoe,99.42%,"70,818","9,312","1,264","3,195",156
45,1946,United States,Geuse,98.47%,"154,570","9,312",339,"2,415","2,078"
46,1947,Ukraine,Sadness,98.66%,"141,462","9,311",80,"1,177","1,544"
47,1948,Canada,XenoPenguino,98.54%,"60,532","9,310",133,"1,598","1,160"
48,1949,United States,-Yamato-,98.29%,"91,905","9,310",21,393,798
49,1950,Romania,Chiu,99.14%,"143,806","9,309",365,"4,697","2,468"
0,1951,United States,PurpleEggplant,96.50%,"91,723","9,306",22,554,782
1,1952,Turkey,Aranel,97.81%,"111,686","9,304",244,699,636
2,1953,South Korea,IcyIce,97.85%,"58,986","9,304",37,613,848
3,1954,Finland,mikkoxd,98.04%,"104,159","9,303",61,"1,237","1,581"
4,1955,Austria,Akane-Yuki,98.77%,"58,118","9,303",74,"1,108",847
5,1956,Russian Federation,Lefy,98.51%,"58,675","9,302",19,444,"1,050"
6,1957,United States,Jqwz,96.19%,"136,273","9,301",121,987,"1,664"
7,1958,United States,xChillin,98.02%,"82,071","9,300",415,"3,162","3,901"
8,1959,South Korea,Yellow,98.86%,"94,455","9,298",74,"1,013",514
9,1960,Denmark,spaceman,98.64%,"44,393","9,298",43,639,756
10,1961,Ireland,Impossabear,98.33%,"97,494","9,297",187,"1,371","1,836"
11,1962,Philippines,Miyazumi,93.90%,"82,608","9,295",38,530,545
12,1963,Hong Kong,Akiko-,97.71%,"113,138","9,295",162,"2,058",459
13,1964,Spain,zZ CreatorGD Zz,94.72%,"73,578","9,293",12,256,415
14,1965,Italy,qqale1,99.04%,"186,535","9,293","4,055","2,406","1,465"
15,1966,Germany,Qualli,98.76%,"134,230","9,292",54,816,892
16,1967,Brazil,Darkk,98.61%,"91,905","9,292",74,950,"1,288"
17,1968,South Korea,Cres,99.30%,"156,001","9,292","1,686","7,063","1,811"
18,1969,United States,SolaEclipse,99.39%,"68,339","9,292",181,645,613
19,1970,Canada,Totoro,99.11%,"48,977","9,290",71,877,585
20,1971,Russian Federation,RedFoxess,97.66%,"87,434","9,290",34,796,"1,426"
21,1972,Canada,yumichi,98.29%,"74,441","9,289",41,671,"1,255"
22,1973,Czech Republic,Commy,98.73%,"106,707","9,289",383,"1,404",392
23,1974,Turkey,Rekia,97.81%,"74,299","9,288",33,700,686
24,1975,France,Zeloux,98.31%,"16,806","9,287",49,244,697
25,1976,Germany,aimbotcone,95.59%,"58,626","9,286",11,284,666
26,1977,Taiwan,sdaiber2,97.02%,"90,889","9,285",6,643,"1,505"
27,1978,South Korea,mx10000,98.82%,"82,933","9,284",454,"2,126","1,709"
28,1979,Kazakhstan,Wadas,98.76%,"75,690","9,282",825,"5,571",794
29,1980,Russian Federation,Bloodyguol,96.53%,"86,577","9,282",74,"1,734","1,287"
30,1981,United States,thinking,98.68%,"83,129","9,281",192,500,"1,155"
31,1982,Turkey,Shinkir0,98.69%,"21,030","9,281",0,129,471
32,1983,Belgium,Meersu,98.84%,"119,489","9,279",101,"1,011","1,022"
33,1984,United States,Chopper2111,96.75%,"41,510","9,279",95,753,527
34,1985,Israel,Shushan,98.59%,"97,374","9,279",93,987,"1,181"
35,1986,Brazil,Katrion,97.58%,"47,807","9,279",20,396,899
36,1987,Australia,Alpama,98.34%,"37,157","9,278",54,810,"1,049"
37,1988,United States,hong on osu,98.99%,"45,703","9,278",21,696,879
38,1989,Colombia,Ninther4,98.33%,"98,392","9,278",699,"4,141",436
39,1990,Poland,James Naismith,98.62%,"121,013","9,277",78,"1,147","1,332"
40,1991,Latvia,Jesus[Krists],98.89%,"80,492","9,276",45,935,793
41,1992,South Korea,sehyen63,96.03%,"87,529","9,275",12,264,580
42,1993,Russian Federation,-Trigger,98.74%,"112,057","9,274",164,"1,765","1,349"
43,1994,United States,Kuukoisbestgirl,98.72%,"63,220","9,273",42,406,745
44,1995,United States,[Astro],99.41%,"83,845","9,271",103,"1,094","1,574"
45,1996,United Kingdom,Best459,95.93%,"85,983","9,271",32,667,"1,514"
46,1997,United States,Redmoss,97.50%,"148,819","9,270",178,"1,733","1,860"
47,1998,South Korea,IasiS,98.13%,"180,278","9,269",117,"2,211",972
48,1999,United States,JadeDT,97.78%,"60,663","9,268",20,594,501
49,2000,Canada,PigwuPlays,95.81%,"85,038","9,268",19,277,670
0,2001,South Korea,Tled,99.00%,"48,948","9,268",0,289,653
1,2002,Australia,ABSOLUTE EPIC 8,97.52%,"59,842","9,268",23,245,589
2,2003,United States,Wekkl,99.29%,"103,747","9,267",29,416,679
3,2004,Poland,-kRs,98.49%,"80,912","9,267",105,"1,491","2,614"
4,2005,Uruguay,Kazuki K,96.70%,"48,555","9,266",25,284,377
5,2006,Hong Kong,Blackskyline,97.95%,"65,862","9,266",39,"1,281",974
6,2007,Canada,Cheezstikz,96.85%,"98,377","9,265",17,309,"1,209"
7,2008,Argentina,Fervore,97.88%,"90,628","9,265",61,"1,082","1,426"
8,2009,Germany,Jonimay,98.50%,"128,069","9,264",94,"1,448","1,414"
9,2010,United Kingdom,Malteser,98.05%,"87,685","9,264",74,889,"1,686"
10,2011,Finland,Dezku,97.49%,"72,252","9,264",56,412,314
11,2012,Japan,skySoranano,99.41%,"91,560","9,263",343,"1,563",2
12,2013,North Macedonia,MetoA,98.69%,"61,022","9,263",90,984,748
13,2014,Slovakia,Hranolka,99.07%,"188,843","9,262","11,123","7,098","2,156"
14,2015,Russian Federation,rbhby njlj1707,98.25%,"22,359","9,262",22,220,555
15,2016,Belarus,Razelyn,96.60%,"62,135","9,261",207,407,528
16,2017,United States,-KimJongUn,96.91%,"32,173","9,260",33,99,132
17,2018,Philippines,vCrayer,99.10%,"68,587","9,259",15,434,462
18,2019,Kuwait,MeshVI,98.48%,"153,384","9,258",128,"1,336","1,602"
19,2020,Israel,Caution,98.17%,"49,448","9,257",5,368,603
20,2021,United States,mook,99.46%,"189,406","9,257",187,"1,264",997
21,2022,Switzerland,Sil,99.29%,"102,935","9,256","1,178","1,874","1,261"
22,2023,Italy,NekoFunfo,98.86%,"89,498","9,256",187,"2,093",876
23,2024,China,Cnya,98.85%,"121,800","9,255",65,"3,220","1,092"
24,2025,Ukraine,magnatagamer123,98.40%,"45,605","9,254",16,407,777
25,2026,Hong Kong,Coni,95.55%,"133,878","9,254",141,"1,551","2,026"
26,2027,Germany,hab dich lieb,98.54%,"63,618","9,253",205,"1,253","2,248"
27,2028,United States,snckx,96.71%,"101,974","9,253",63,718,"1,357"
28,2029,United States,Danini,96.19%,"84,370","9,253",36,480,747
29,2030,Norway,Matboksen,98.29%,"86,452","9,253",28,"1,040","1,870"
30,2031,United States,roshan117,97.97%,"65,184","9,252",17,749,952
31,2032,Singapore,ExImperia,97.76%,"57,101","9,252",32,444,497
32,2033,United Kingdom,Applequestria,97.34%,"59,144","9,251","2,907",930,"1,319"
33,2034,Japan,Meg,99.58%,"199,191","9,251",676,"2,390","1,571"
34,2035,Spain,2004Raul,98.58%,"48,949","9,251",37,664,"1,021"
35,2036,China,Remapper,99.48%,"117,575","9,250",432,"2,857","1,225"
36,2037,United States,Tem,98.03%,"29,398","9,250",47,500,739
37,2038,Germany,Duftende Pizza,99.34%,"80,319","9,249",504,"1,833",959
38,2039,South Korea,Sanctus,99.41%,"86,014","9,249",357,"2,289",493
39,2040,Philippines,Rammu,99.29%,"57,611","9,249",214,"1,975","1,326"
40,2041,Portugal,Sakuragi,96.88%,"63,458","9,247",5,298,857
41,2042,Latvia,karstgalvis,99.50%,"93,903","9,242","1,228","4,739","4,066"
42,2043,Chile,Sebayop,98.92%,"60,602","9,241",24,559,434
43,2044,United States,Crestive,97.74%,"128,219","9,241",10,281,"1,102"
44,2045,Canada,PentaFish,97.04%,"68,600","9,241",26,273,379
45,2046,United States,himeko,99.06%,"111,865","9,241",165,"1,879","2,278"
46,2047,United States,Mrotaku,98.91%,"67,602","9,240",66,"1,143",634
47,2048,Russian Federation,Rany,96.93%,"26,124","9,239",54,717,478
48,2049,United States,Ghouru,98.82%,"90,792","9,239",164,817,656
49,2050,Japan,o_YUSAYUSA_o,96.32%,"20,519","9,239",7,329,420
0,2051,South Korea,Tosino Kyoko,98.51%,"60,497","9,238",177,"1,417",687
1,2052,United States,Happyknight,97.64%,"76,141","9,237",42,143,301
2,2053,Thailand,Applause,98.60%,"119,998","9,236",147,"1,003",689
3,2054,Thailand,minecrafter,97.72%,"69,822","9,236",17,812,"1,324"
4,2055,Spain,DxVi,98.43%,"57,648","9,236",159,"1,320",893
5,2056,Canada,Nevik,98.23%,"135,623","9,235",79,862,"1,116"
6,2057,Russian Federation,Fl3ke,96.90%,"76,680","9,235",30,593,558
7,2058,United States,Faces,98.13%,"77,329","9,235",13,497,796
8,2059,United States,Opeth,97.84%,"67,579","9,234",44,932,"2,443"
9,2060,United Kingdom,Shubber,98.94%,"87,737","9,234",14,215,730
10,2061,Germany,Krosis,98.19%,"79,375","9,234",213,"1,860","1,299"
11,2062,Russian Federation,Nastawaga,95.57%,"17,492","9,233",3,241,372
12,2063,United States,DerpyFox,95.27%,"65,575","9,233",1,167,647
13,2064,Canada,Teardrops,98.70%,"68,255","9,233",20,560,"1,191"
14,2065,Poland,Npo3151,98.22%,"86,324","9,232",104,"1,173","1,422"
15,2066,United States,Valsora,98.10%,"89,764","9,232",64,"1,342","1,379"
16,2067,Poland,Micoz,99.24%,"84,299","9,231",926,"1,202","1,302"
17,2068,Canada,RNG Lord,97.04%,"49,521","9,229",41,515,427
18,2069,Austria,BattleLoli,98.48%,"129,777","9,229",43,"1,243","1,723"
19,2070,Canada,Kren,97.92%,"73,925","9,229",36,494,"1,086"
20,2071,Singapore,Zac-,98.04%,"48,426","9,229",22,811,964
21,2072,United States,honque,99.37%,"70,635","9,229","1,445",481,274
22,2073,Canada,Kurone,96.47%,"113,162","9,228",476,491,725
23,2074,Germany,Suwako Moriya,98.94%,"108,452","9,228",49,822,"1,697"
24,2075,Poland,Marcin DziDT,99.08%,"73,498","9,228",137,"1,146","1,011"
25,2076,Norway,Cocaine dog,98.39%,"106,197","9,227",41,685,646
26,2077,Portugal,DinossauroCarro,99.32%,"135,929","9,226",434,"2,274","2,070"
27,2078,Canada,SepticChild,99.01%,"86,105","9,225",47,588,"1,575"
28,2079,New Zealand,ningalu,98.45%,"96,874","9,225",74,813,"1,072"
29,2080,Russian Federation,MatvikFX,98.80%,"65,609","9,225",21,524,513
30,2081,South Korea,Luscent,98.11%,"98,744","9,223",178,"1,211","2,656"
31,2082,China,Kafuu Chino,98.52%,"99,455","9,222",48,904,558
32,2083,Russian Federation,Asatopskii,97.37%,"23,328","9,222",18,307,350
33,2084,United States,Chanmann,96.44%,"121,992","9,222",47,864,"1,252"
34,2085,Sweden,-Kupo-,98.16%,"72,907","9,220",75,"1,137","1,497"
35,2086,Norway,Johannes,99.06%,"57,343","9,220",47,448,985
36,2087,South Korea,Duke,97.47%,"28,489","9,219",116,702,735
37,2088,Indonesia,Rinzler,99.14%,"68,777","9,219",17,405,238
38,2089,United States,TheBlaZer,97.60%,"45,640","9,218",73,346,380
39,2090,Argentina,Cata,98.55%,"158,699","9,218",102,"1,909","1,712"
40,2091,Italy,Shinjin,97.76%,"60,702","9,218",14,204,271
41,2092,United States,Low Low,98.33%,"67,365","9,216",262,"1,510","1,381"
42,2093,Netherlands,BOB SHMURDA,98.61%,"81,214","9,216",89,"1,914","2,882"
43,2094,Sweden,Magic-_-Banana,96.69%,"100,539","9,215",12,310,827
44,2095,Thailand,Trigonoculus,98.52%,"46,811","9,213","1,484","2,252",652
45,2096,United States,Ooi,98.44%,"80,405","9,213",418,"1,780","2,049"
46,2097,Finland,ahegao,98.47%,"90,089","9,212",103,905,"1,213"
47,2098,Chile,Akariin,98.69%,"111,975","9,211",99,"1,482","1,393"
48,2099,Italy,Matteo,97.14%,"75,491","9,210",8,83,732
49,2100,France,Syfou,97.88%,"155,065","9,210",57,"1,626","1,772"
0,2101,Finland,Nunti,98.75%,"141,397","9,208",81,847,"3,173"
1,2102,Japan,Sakurai Momoka,98.76%,"80,132","9,208",246,"2,371","1,217"
2,2103,Egypt,KupcaH,97.97%,"92,818","9,207",59,"1,193","1,803"
3,2104,Germany,k a i m u,99.62%,"96,595","9,206",96,480,771
4,2105,Indonesia,sumippe,98.15%,"183,098","9,206",14,245,967
5,2106,Poland,Mavy,98.73%,"39,656","9,206",320,"1,327",992
6,2107,Lithuania,Recvilicia,98.20%,"77,670","9,205",121,"2,385","4,160"
7,2108,Japan,necomi,96.38%,"51,487","9,205",2,250,411
8,2109,France,RyuuBei,99.42%,"95,956","9,204",280,"2,059","1,082"
9,2110,Norway,Villizen,95.88%,"78,344","9,204",22,636,"1,094"
10,2111,Canada,Principe,97.96%,"75,908","9,203",46,"1,545","1,196"
11,2112,Romania,Jani,97.08%,"51,276","9,203",2,156,414
12,2113,United States,freedomdiver,93.03%,"98,382","9,203",341,"1,806",727
13,2114,Germany,Ragezeus,98.36%,"77,503","9,201",29,478,"1,164"
14,2115,United States,Haeron,99.07%,"96,813","9,200",271,337,230
15,2116,Estonia,Slay,98.92%,"127,567","9,199",144,"1,038","1,530"
16,2117,Australia,Noobsicle,98.96%,"36,001","9,199",126,"1,648","2,593"
17,2118,Australia,termixo,97.45%,"44,797","9,196",35,526,539
18,2119,Philippines,Binninja,97.75%,"64,877","9,195",74,924,"1,225"
19,2120,Austria,Alumetorz,99.25%,"91,526","9,194",104,"1,194",594
20,2121,South Korea,Lolikore,99.27%,"101,727","9,192",92,"1,428",238
21,2122,China,Fear Kubrick,98.82%,"107,393","9,192",21,650,"1,068"
22,2123,United States,Explicity,98.46%,"119,923","9,192",9,325,"1,299"
23,2124,United Kingdom,Listie,97.54%,"143,342","9,192",487,"2,316","2,795"
24,2125,China,silly me,98.98%,"61,483","9,190",14,626,"1,075"
25,2126,Ukraine,Lappen777,98.90%,"23,145","9,190",27,497,812
26,2127,Ireland,Ophiz,99.08%,"74,519","9,187",133,"2,989","3,197"
27,2128,Spain,sorangan,98.37%,"98,470","9,187",42,710,783
28,2129,Chile,Asanagi,97.33%,"113,694","9,185",34,635,730
29,2130,United States,Kurisu,98.42%,"61,433","9,185",40,989,"2,070"
30,2131,Norway,Freddy,96.12%,"112,621","9,185",38,474,"1,273"
31,2132,Taiwan,MiyazonoKuma,97.57%,"66,817","9,184",103,850,773
32,2133,Poland,Sk4acH,94.28%,"117,715","9,183",3,212,634
33,2134,South Korea,_sPekTrE,98.25%,"56,133","9,182",5,662,"1,196"
34,2135,Canada,redbaby,98.43%,"86,091","9,180",243,599,841
35,2136,Russian Federation,Neko God,97.97%,"62,864","9,179",11,155,203
36,2137,China,Neko Mimi,99.34%,"117,922","9,179",987,"1,241",741
37,2138,Poland,O5KA9,97.94%,"63,119","9,178",61,947,963
38,2139,Poland,ondines,99.05%,"61,411","9,178",58,882,867
39,2140,China,[Trinity],98.63%,"84,876","9,178",123,"2,081","1,284"
40,2141,South Korea,Syocola,99.10%,"55,913","9,177",61,534,886
41,2142,Brazil,Chrystian,97.90%,"159,321","9,177",17,531,"1,578"
42,2143,United Kingdom,Cornfield,98.43%,"77,013","9,176",207,"1,404","1,466"
43,2144,United Kingdom,sut_son,99.23%,"117,048","9,176",678,"3,197","1,145"
44,2145,Japan,ChristieBell,99.01%,"197,035","9,174",114,"1,752","1,251"
45,2146,Russian Federation,LilDoc,97.90%,"122,534","9,173",70,"1,675","1,648"
46,2147,Japan,Hql_,98.37%,"84,610","9,172",106,426,914
47,2148,United States,GreyWB,98.11%,"46,604","9,172",62,639,804
48,2149,Austria,Underaged,98.59%,"75,865","9,171",49,909,"1,121"
49,2150,United States,Minion,93.44%,"130,100","9,171",92,"2,212","1,563"
0,2151,Finland,Specksan,99.49%,"135,152","9,171",345,927,"1,350"
1,2152,Spain,Alvaritroko,97.50%,"72,992","9,171",69,406,"1,085"
2,2153,Poland,Gwaltosz,98.92%,"85,225","9,170",58,637,947
3,2154,South Korea,Cinia Pacifica,98.35%,"63,542","9,170",63,"1,584",490
4,2155,Russian Federation,MyAngelNino,97.82%,"24,756","9,170",30,751,985
5,2156,United States,cool username,96.06%,"131,853","9,170",47,"1,074","1,170"
6,2157,United Kingdom,Cheesetim21,98.25%,"75,587","9,169",248,"1,096","1,850"
7,2158,Russian Federation,Riobener,98.25%,"102,412","9,169",83,628,736
8,2159,United Kingdom,meltz,98.54%,"161,425","9,169",46,614,636
9,2160,United Kingdom,Crai,98.08%,"51,196","9,168",3,64,264
10,2161,Japan,Chaltier0,99.42%,"124,599","9,168","1,699",894,429
11,2162,Belgium,Fblade,98.95%,"90,658","9,168",69,339,"1,223"
12,2163,Mexico,NoF41l,98.31%,"56,562","9,168",9,616,840
13,2164,Germany,Shunsuke,98.48%,"57,959","9,167",103,"1,042",692
14,2165,United States,Dain,97.02%,"91,558","9,166",24,641,"1,255"
15,2166,Denmark,waefwerf,98.65%,"96,540","9,164",79,"1,373","1,911"
16,2167,Russian Federation,DonnieGG,97.85%,"57,860","9,164",27,384,950
17,2168,France,Sjizu,98.37%,"77,878","9,163",113,566,475
18,2169,United States,CB92,97.47%,"62,326","9,163",30,548,857
19,2170,Germany,Suome,98.91%,"53,776","9,160",486,"2,485","1,860"
20,2171,Colombia,Ritokoi,97.94%,"116,910","9,159",12,469,522
21,2172,Brazil,gilherme boulos,98.91%,"116,497","9,158",67,"2,031","1,493"
22,2173,France,TheBaboucheOMG,98.99%,"28,095","9,157",14,418,487
23,2174,Canada,quorelia,99.27%,"55,049","9,157",947,473,351
24,2175,United States,Dasrobot,98.09%,"86,796","9,156",13,458,805
25,2176,Japan,Cien,98.65%,"109,401","9,156",277,"2,734",482
26,2177,United States,Jararered,98.80%,"73,328","9,155",202,"1,796",969
27,2178,Russian Federation,Karanos,96.23%,"71,587","9,155",148,971,"1,133"
28,2179,Colombia,Pokt,98.10%,"70,797","9,155",13,199,380
29,2180,Russian Federation,ncuh,99.22%,"185,443","9,155",269,"2,030","1,053"
30,2181,Russian Federation,Snoop Frogg,98.15%,"305,210","9,154",38,561,882
31,2182,Singapore,Loslite,98.40%,"60,191","9,154",73,"1,448","1,410"
32,2183,Finland,Santeri,98.76%,"25,604","9,153",65,869,"1,543"
33,2184,Portugal,My Angel Takaga,98.41%,"86,370","9,153",79,932,"1,336"
34,2185,Japan,Shigure chan,98.97%,"67,506","9,152",180,"1,867",810
35,2186,United States,pingding,98.96%,"83,520","9,151",99,663,892
36,2187,United States,ZephyrCo,99.26%,"110,105","9,149",42,608,"1,061"
37,2188,South Korea,[Chiyo],97.15%,"92,809","9,149",222,"1,756",866
38,2189,Greece,Leftie,99.63%,"140,888","9,149","1,088","3,478","4,758"
39,2190,United Kingdom,Sam,96.89%,"125,332","9,148",41,841,705
40,2191,Russian Federation,LexiO_o,97.45%,"104,404","9,148",12,492,"2,087"
41,2192,Turkey,gejutel,98.56%,"136,116","9,147",32,679,835
42,2193,China,ltasia,98.45%,"115,594","9,147",55,"1,553",610
43,2194,United States,Poptartnyan,98.21%,"77,271","9,147",18,529,753
44,2195,Japan,Lemaire,99.46%,"104,967","9,147",289,"1,789",996
45,2196,China,pp447576,98.61%,"59,130","9,146",158,"1,714","1,733"
46,2197,United States,kinchin,98.30%,"23,912","9,146",26,644,"1,525"
47,2198,China,HIKARI-Fran,98.12%,"42,484","9,146",90,"2,716","3,107"
48,2199,Spain,Crisanton,96.64%,"93,992","9,145",179,746,734
49,2200,Spain,SansREPZ,96.82%,"86,297","9,145",55,398,859
0,2201,United States,ArmaniDilbo,97.33%,"60,190","9,145",20,493,"1,050"
1,2202,Canada,Legend_OZ,98.64%,"28,328","9,145",9,459,730
2,2203,China,Sarasa,98.56%,"50,628","9,144",42,654,577
3,2204,Taiwan,Imokora,98.73%,"40,973","9,144",259,"1,053","1,555"
4,2205,United States,iPhone X,96.66%,"54,978","9,143",15,363,873
5,2206,Russian Federation,Kiranelly,97.37%,"83,942","9,142",63,"1,094","1,486"
6,2207,Malaysia,ClawViper,99.24%,"57,771","9,141",278,"3,064",133
7,2208,United States,Ifblim,98.59%,"99,231","9,139",481,"1,502",963
8,2209,United States,AmericanPenguin,99.37%,"259,703","9,139","3,488","1,630","2,422"
9,2210,South Korea,Elasia,99.03%,"146,567","9,138","2,465","1,842","1,729"
10,2211,United States,ThatwasDirty,98.09%,"154,462","9,138",35,719,799
11,2212,Ukraine,Virgo,98.72%,"138,090","9,137","23,665",110,"13,735"
12,2213,United States,-SoMoE-,98.24%,"103,068","9,136",41,908,437
13,2214,Poland,Pioter00000,99.28%,"94,869","9,135",105,712,"1,053"
14,2215,Japan,surume yotyan,99.57%,"58,837","9,135",377,"1,036",653
15,2216,Georgia,Rumianne,98.90%,"73,792","9,134",46,970,"1,608"
16,2217,Netherlands,Drerrie,98.24%,"61,374","9,133",79,"1,030","1,597"
17,2218,United States,vikala,99.07%,"116,753","9,133",146,"1,413","2,009"
18,2219,Canada,Brahm,97.38%,"48,935","9,132",8,213,285
19,2220,Russian Federation,Cappu,98.78%,"120,535","9,130",101,"1,046","2,551"
20,2221,Belarus,Ilormo,98.47%,"73,843","9,130",89,885,824
21,2222,Kazakhstan,THeFox315,98.23%,"51,731","9,130",30,767,"1,537"
22,2223,Kazakhstan,FengShen,99.10%,"94,775","9,129",125,956,656
