GENES "U3" "U4" "U6" "U7" "U8" "U9" "H34" "H35" "H36" "H38" "H39" "H40" "S62" "S63" "S64" "S67" "S68"
"EPHB2" 1.28370760141919 3.58838357638048 13.754236811636 866.647210752527 31.5624869902459 346.696388068175 322.335985413742 924.879287554177 7.90671903537736 986.751258347882 9.00733424956002 972.619924690165 759.338071764276 26.1733762507827 1.34434662320944 728.238170947079 29.633269299562
"ETV4" 3.85112280425758 1.19612785879349 4.58474560387868 5.86894273647309 307.127277251239 3.20027435139854 3.98492289659846 265.622771166079 1.58134380707547 77.8733425506977 4.50366712478001 107.090881602386 1.04161601065058 5.68986440234407 1442.48392670373 1.17268626561526 1.18533077198248
"EWSR1" 1005.14305191123 1017.90480783326 9.16949120775736 7451.60096107534 588.761776548819 742.46364952446 818.680270645618 808.602652786697 83.811221775 501.376315052437 794.146636336208 1.46699837811488 3167.55428838843 793.167097686763 3335.32397218262 6126.11305157414 1050.20306397648
"FAT1" 9260.66663663807 8337.01117579065 7.64124267313114 1533.75036846497 9898.48149686405 456.572474132858 3522.22907138231 848.072703120612 11.0694066495283 248.554641291953 9131.93570667893 13527.1920445973 7249.64743412806 10819.8461474975 1111.77465739421 357.669311012655 5865.01665976931
"FGFR4" 3.85112280425758 1.19612785879349 10.6977397423836 1.95631424549103 1.21394180731715 1.06675811713285 2.21384605366581 1.06675811713285 3.16268761415094 1.06675811713285 1.50122237492667 2.93399675622976 1.04161601065058 1.13797288046881 6.7217331160472 1.17268626561526 1.18533077198248
"FLT4" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 3.64182542195146 1.06675811713285 0.442769210733163 1.06675811713285 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 4.03303986962832 3.51805879684579 1.18533077198248
"FN1" 8089.92530414377 11.9612785879349 12.2259882770098 41.0825991553116 5686.10342547354 773.399634921313 43.8341518625831 92.8079561905575 58.5097208617925 453.372199781459 7.50611187463335 7.33499189057439 7.29131207455409 974.104785681304 110.236423103174 7.03611759369158 91.2704694426509
"FXYD5" 65.4690876723789 4.78451143517398 4.58474560387868 9.78157122745515 75.2643920536634 78.9401006678305 969.664571505626 930.213078139841 105.950035074057 313.626886437057 1460.68937080365 36.674959452872 9.37454409585525 27.3113491312515 9.41042636246608 1.17268626561526 1.18533077198248
"GNRH1" 3.85112280425758 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 1.32830763219949 5.33379058566423 7.90671903537736 2.13351623426569 4.50366712478001 7.33499189057439 3.12484803195175 1.13797288046881 1.34434662320944 3.51805879684579 3.55599231594744
"HGF" 3.85112280425758 1612.38035365363 1.52824853462623 3.91262849098206 1.21394180731715 1.06675811713285 2.21384605366581 1.06675811713285 4.74403142122642 2.13351623426569 4.50366712478001 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"HRAS" 6.41853800709597 551.414942903801 1.52824853462623 1.95631424549103 8.49759265122006 163.213991921325 59.773843448977 41.603566568181 20.5574694919811 331.761774428315 13.51100137434 1.46699837811488 157.284017608238 42.1049965773461 1.34434662320944 503.082407948948 17.7799615797372
"HTATIP2" 75.7387484837325 2270.25067599005 1046.85024621897 1.95631424549103 103.185053621958 35.2030178653839 37.6353829123188 2566.62002982163 14.2320942636792 158.946959452794 3382.25401070979 673.352255554729 1007.24268229911 86.4859389156298 264.83628477226 444.448094668185 24.8919462116321
"IGF1" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 1.21394180731715 1.06675811713285 0.442769210733163 1.06675811713285 4.74403142122642 5.33379058566423 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"IL18" 1.28370760141919 1.19612785879349 1.52824853462623 48.9078561372758 1.21394180731715 1.06675811713285 30.1083063298551 1.06675811713285 1.58134380707547 11.7343392884613 19.5158908740467 2.93399675622976 3.12484803195175 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"IL1B" 21.8230292241263 15.5496621643154 74.8841781966851 1.95631424549103 18.2091271097573 5.33379058566423 701.789199012063 80.0068587849634 4.74403142122642 9.60082305419561 28.5232251236067 7.33499189057439 32.2900963301681 29.5872948921891 22.8538925945605 26.9717841091511 2445.33738259985
"ITGB3" 1.28370760141919 3.58838357638048 7.64124267313114 1.95631424549103 3.64182542195146 3.20027435139854 2.21384605366581 971.816644708022 1.58134380707547 3.20027435139854 4.50366712478001 2.93399675622976 713.50696729565 3280.77581439159 1.34434662320944 1.17268626561526 3.55599231594744
"KISS1" 1.28370760141919 1.19612785879349 1.52824853462623 1.95631424549103 30.3485451829288 1.06675811713285 0.442769210733163 1.06675811713285 1.58134380707547 1.06675811713285 1.50122237492667 1.46699837811488 1.04161601065058 1.13797288046881 1.34434662320944 1.17268626561526 1.18533077198248
"KISS1R" 55.1994268610254 8.37289501155446 142.127113720239 13.6941997184372 20.6370107243916 30.9359853968525 18.1535376400597 18.1348879912584 23.7201571061321 97.0749886590889 49.5403383725801 24.9389724279529 248.94622654549 394.876589522678 14.7878128553038 22.28103904669 190.838254289179
"KRAS" 1267.01940260075 1.19612785879349 1.52824853462623 1.95631424549103 72.8365084390291 937.680384959771 213.857528784118 468.306813421319 4.74403142122642 71.4727938479006 3.00244474985334 77.7509140400886 17.7074721810599 312.942542128924 770.31061509901 3.51805879684579 480.058962652904
"MCAM" 1.28370760141919 1.19612785879349 4.58474560387868 1.95631424549103 180.877329290256 1.06675811713285 114.234456369156 1.06675811713285 1.58134380707547 1.06675811713285 160.630794117154 4.40099513434464 1.04161601065058 3.41391864140644 76.6277575229381 1.17268626561526 3.55599231594744
"MDM2" 12837.0760141919 8423.13238162378 1361.66944435197 1281.38583079663 995.432282000064 4373.70828024467 43.3913826518499 9.60082305419561 4.74403142122642 502.44307316957 1495.21748542696 1691.44912996646 969.744505915693 8790.84050162158 3235.84232206512 1103.49777594396 910.334032882544
"MET" 1242.62895817378 666.243217347976 13.754236811636 1111.18649143891 116.538413502447 103.475537361886 2964.33986585852 632.587563459777 14.2320942636792 1034.75537361886 1457.6869260538 7135.48011115077 798.919480168998 939.96559926724 134.434662320944 117.268626561526 10.6679769478423
"METAP2" 4178.46824261948 4087.16889349737 1299.01125443229 1.95631424549103 1113.18463730983 1915.89757837059 634.488278980622 4831.34751249466 14.2320942636792 1377.1847292185 325.765255359087 2697.81001735326 4207.08706701771 2166.70036441262 3112.16243272986 7969.57586112133 5550.90400519395
